url_length,digit_count,special_char_count,has_ip,subdomain_count,has_https,suspicious_tld,domain_age_days,keyword_density,has_password_input,url_entropy,brand_misuse,path_depth,redirect_count,label
31,0,7,0,1,1,0,0,0,1,3.84,0,0,0,1
90,22,11,0,1,1,0,4141,0,0,4.598,0,4,0,1
45,7,9,0,1,0,0,9186,0,0,4.32,0,3,0,1
55,2,9,0,1,0,0,0,0,0,4.491,0,2,0,1
65,5,12,0,1,0,0,0,0,0,4.504,0,3,0,1
41,3,7,0,1,0,0,0,0,0,4.113,0,0,0,1
71,12,11,0,0,1,0,0,0,0,4.739,0,2,0,1
83,6,12,0,1,1,0,0,0,0,5.007,1,4,0,1
73,25,8,0,0,0,0,154,0,0,4.774,1,2,0,1
44,9,8,0,1,0,0,0,0,0,4.555,0,1,0,1
114,6,17,0,1,0,0,0,0,0,4.845,0,2,0,1
127,20,18,0,3,1,0,6019,0,0,4.846,1,2,0,1
99,7,12,0,1,0,0,0,0,0,5.141,0,1,0,1
56,0,11,0,1,0,0,0,0,0,4.518,0,4,0,1
51,0,8,0,1,1,0,0,0,0,4.111,0,2,0,1
51,0,10,0,1,0,0,0,0,0,3.861,1,2,0,1
40,0,9,0,1,1,0,0,0,0,4.394,0,2,0,1
33,0,10,0,2,0,0,0,0,0,3.862,0,3,0,1
88,0,14,0,1,1,0,0,0,0,4.371,0,3,0,1
122,6,21,0,1,1,0,0,0,0,4.121,0,3,0,1
53,0,8,0,1,0,0,0,0,0,4.207,0,2,0,1
46,4,11,0,5,1,0,0,0,0,4.338,1,0,0,1
36,0,5,0,1,0,0,9326,0,0,4.083,0,0,0,1
31,0,6,0,1,0,0,0,0,0,3.8,0,0,0,1
48,0,11,0,1,1,0,0,0,0,4.148,0,3,0,1
101,0,14,0,0,1,0,0,0,0,4.265,0,3,0,1
41,0,8,0,1,0,0,0,0,0,4.278,0,2,0,1
43,4,8,0,3,0,0,703,0,0,4.304,1,0,0,1
15,0,4,0,0,0,0,0,0,0,3.507,0,0,0,1
42,3,10,0,1,0,0,0,0,0,4.246,0,1,0,1
51,0,9,0,0,0,0,0,0,0,3.953,0,1,0,1
48,0,11,0,1,0,0,6011,0,0,3.965,0,2,0,1
49,0,8,0,0,0,0,0,0,0,4.245,0,2,0,1
25,0,8,0,0,1,0,4674,0,0,4.214,0,0,0,1
49,1,10,0,1,1,0,0,0,0,4.008,0,3,0,1
48,1,8,0,1,0,0,0,0.1,0,4.267,0,1,0,1
108,4,15,0,1,0,0,0,0,0,4.687,0,4,0,1
39,0,7,0,0,0,0,3058,0,0,4.028,0,1,0,1
80,0,13,0,2,0,0,713,0,0,4.5,0,3,0,1
36,0,7,0,1,0,0,0,0,0,3.975,0,1,0,1
28,0,7,0,1,1,0,0,0,0,3.914,0,0,0,1
33,2,6,0,1,1,0,0,0,0,4.514,0,1,0,1
23,0,7,0,2,1,0,0,0,0,3.697,0,0,0,1
77,0,12,0,1,1,0,7252,0.1,0,4.312,0,2,0,1
342,142,37,0,2,1,0,0,0,0,5.299,0,3,0,1
38,5,7,0,1,1,0,0,0,0,4.294,0,0,0,1
73,0,12,0,1,0,0,0,0,0,4.295,0,2,0,1
33,0,7,0,1,1,0,7666,0,0,4.127,0,2,0,1
67,0,12,0,1,0,0,68,0,0,4.14,0,4,0,1
39,2,7,0,1,1,0,8458,0,0,4.202,0,2,0,1
24,0,6,0,1,1,0,0,0,0,3.804,0,0,0,1
26,0,6,0,1,1,0,0,0,0,3.844,0,0,0,1
39,5,9,0,0,1,0,0,0,0,4.16,0,4,0,1
62,22,8,0,2,0,0,0,0,0,4.758,0,1,0,1
41,0,8,0,0,0,0,0,0,0,4.241,1,2,0,1
40,0,6,0,1,1,0,0,0,0,4.044,0,0,0,1
51,0,9,0,1,0,0,0,0,0,4.185,0,1,0,1
59,4,12,0,1,1,0,0,0,0,4.428,0,3,0,1
50,0,9,0,1,1,0,0,0,0,3.922,0,3,0,1
52,3,8,0,1,0,0,0,0,0,4.08,0,1,0,1
43,0,8,0,0,0,0,0,0,0,3.999,0,2,0,1
94,12,13,0,1,0,0,0,0,0,4.325,0,3,0,1
60,0,9,0,1,0,0,0,0,0,4.026,0,2,0,1
18,0,4,0,0,0,0,0,0,0,3.614,0,0,0,1
204,27,15,0,1,1,0,0,0,0,5.634,0,3,0,1
94,15,14,0,2,1,0,0,0,0,4.688,1,2,0,1
41,0,9,0,3,0,0,0,0,0,4.044,0,0,0,1
19,3,6,0,1,0,0,0,0,0,3.577,0,0,0,1
35,1,7,0,0,0,0,0,0,0,3.976,0,1,0,1
63,0,10,0,0,0,0,0,0,0,4.164,0,4,0,1
53,4,9,0,1,0,0,0,0,0,4.284,0,4,0,1
75,0,15,0,3,0,0,0,0,0,4.177,1,4,0,1
35,4,5,0,1,1,0,0,0,0,4.272,0,0,0,1
210,14,37,0,1,1,0,0,0,0,5.336,1,1,0,1
44,0,7,0,0,1,0,0,0,0,4.036,0,1,0,1
150,73,12,0,3,0,0,0,0,0,4.431,1,1,0,1
39,0,9,0,1,0,0,0,0,0,4.028,0,2,0,1
64,0,13,0,1,0,0,0,0,0,4.164,1,6,0,1
106,17,18,0,2,1,0,0,0,0,5.034,0,5,0,1
34,0,7,0,1,1,0,0,0,0,4.029,0,1,0,1
65,0,12,0,1,1,0,0,0,0,4.322,0,2,0,1
60,2,13,0,1,0,0,0,0,0,4.309,0,6,0,1
25,0,6,0,0,0,0,0,0,0,3.814,0,1,0,1
39,5,7,0,1,0,0,0,0,0,4.292,0,2,0,1
38,0,9,0,1,0,0,0,0,0,4.201,0,2,0,1
129,3,23,0,0,1,0,0,0,0,5.238,0,4,0,1
52,0,10,0,1,1,0,0,0,0,4.16,0,3,0,1
30,11,8,1,2,0,0,0,0,0,3.898,0,1,0,1
33,0,6,0,1,1,0,0,0,0,3.862,0,0,0,1
118,9,15,0,1,0,0,0,0,0,4.554,0,3,0,1
27,0,5,0,0,0,0,0,0,0,3.838,0,0,0,1
78,13,16,0,1,0,0,0,0,0,4.646,0,7,0,1
35,1,7,0,1,0,0,0,0,0,4.186,0,0,0,1
32,0,7,0,0,0,0,0,0,0,3.903,0,1,0,1
64,4,13,0,3,0,0,0,0,0,4.321,0,2,0,1
38,3,7,0,1,1,0,0,0,0,4.294,0,0,0,1
24,0,7,0,2,1,0,0,0,0,3.709,0,0,0,1
68,0,9,0,1,0,0,0,0,0,4.287,0,3,0,1
126,21,19,0,3,1,0,0,0,0,4.67,1,2,0,1
41,0,8,0,1,1,0,0,0,0,4.162,0,2,0,1
48,0,9,0,1,1,0,0,0,0,4.478,0,2,0,1
29,0,6,0,1,0,0,0,0,0,3.926,0,0,0,1
24,0,6,0,1,1,0,0,0,0,3.741,0,0,0,1
50,1,10,0,1,1,0,0,0,0,4.233,0,2,0,1
126,15,18,0,3,0,0,0,0,0,4.701,1,2,0,1
39,0,9,0,1,1,0,0,0,0,4.163,0,3,0,1
102,20,12,0,0,0,0,0,0,0,4.586,0,7,0,1
31,2,6,0,1,0,0,0,0,0,4.147,0,0,0,1
86,24,12,0,2,0,0,0,0,0,5.103,0,1,0,1
78,8,15,0,1,1,0,0,0,0,4.659,0,5,0,1
29,0,7,0,2,1,0,0,0,0,3.857,0,0,0,1
33,7,7,0,1,0,0,0,0,0,4.309,0,1,0,1
27,0,7,0,0,0,0,0,0,0,3.866,0,1,0,1
24,0,6,0,1,1,0,0,0,0,3.657,0,0,0,1
39,0,7,0,1,1,0,0,0,0,3.923,0,1,0,1
28,0,6,0,1,0,0,0,0,0,4.209,0,0,0,1
87,11,9,0,1,0,0,0,0,0,5.09,0,1,0,1
43,0,8,0,1,0,0,0,0,0,4.107,0,2,0,1
27,0,6,0,1,0,0,0,0,0,3.81,0,0,0,1
101,8,19,0,1,0,0,0,0,0,4.52,0,4,0,1
60,0,10,0,1,0,0,0,0,0,4.264,0,1,0,1
38,0,9,0,1,0,0,0,0,0,4.306,0,1,0,1
19,0,5,0,0,1,0,0,0,0,3.747,0,0,0,1
137,36,43,0,1,1,0,0,0,0,3.923,0,2,0,1
263,34,29,0,12,0,0,0,0,0,5.346,1,3,0,1
22,4,5,0,0,1,0,0,0,0,3.936,0,1,0,1
89,1,15,0,0,0,0,0,0,0,4.457,1,4,0,1
28,0,6,0,1,1,0,0,0,0,3.941,0,0,0,1
49,1,7,0,1,0,0,0,0,0,4.051,0,1,0,1
45,3,10,0,3,1,0,0,0,0,4.267,0,0,0,1
30,0,6,0,1,0,0,0,0,0,3.79,0,0,0,1
54,0,9,0,0,0,0,0,0,0,4.121,0,3,0,1
29,0,5,0,1,0,0,0,0,0,3.909,0,0,0,1
86,0,14,0,0,0,0,0,0,0,4.422,0,4,0,1
26,2,6,0,1,0,0,0,0,0,3.95,0,0,0,1
83,9,12,0,1,1,0,0,0,0,4.724,0,2,0,1
49,0,7,0,0,1,0,0,0,0,4.112,0,1,0,1
33,7,7,0,1,0,0,0,0,0,4.37,0,1,0,1
40,0,7,0,1,0,0,0,0,0,4.103,0,2,0,1
56,0,11,0,1,0,0,0,0,0,4.307,0,2,0,1
27,0,6,0,1,1,0,0,0,0,3.676,0,0,0,1
70,0,11,0,1,0,0,0,0,0,4.328,0,1,0,1
128,7,14,0,9,0,0,0,0,0,4.569,0,0,0,1
25,3,5,0,0,0,0,0,0,0,4.214,0,1,0,1
33,0,7,0,1,1,0,0,0,0,4.052,0,1,0,1
52,0,8,0,1,1,0,0,0,0,4.174,0,2,0,1
31,0,6,0,1,1,0,0,0,0,3.736,0,0,0,1
41,4,6,0,1,1,0,0,0,0,4.227,0,0,0,1
33,0,6,0,1,1,0,0,0,0,4.104,0,0,0,1
32,0,6,0,0,1,0,0,0,0,4.108,0,0,0,1
66,2,11,0,1,0,0,0,0,0,4.355,0,2,0,1
85,8,17,0,1,1,0,0,0,0,4.472,0,4,0,1
52,0,8,0,1,1,0,0,0,0,4.289,0,2,0,1
109,6,16,0,1,1,0,0,0,0,4.557,0,2,0,1
84,0,12,0,0,0,0,0,0,0,4.146,0,1,0,1
110,14,11,0,1,1,0,0,0,0,5.29,1,3,0,1
171,52,17,0,0,0,0,0,0,0,4.968,1,5,0,1
17,0,5,0,0,0,0,0,0,0,3.248,0,0,0,1
19,0,4,0,0,0,0,0,0,0,3.261,0,0,0,1
98,28,16,1,2,0,0,0,0,0,4.643,0,8,0,1
32,0,6,0,1,0,0,0,0,0,3.82,0,0,0,1
28,0,6,0,2,1,0,0,0,0,3.968,0,0,0,1
64,2,11,0,1,0,0,0,0,0,4.387,0,2,0,1
40,0,7,0,1,1,0,0,0,0,3.994,0,2,0,1
132,15,15,0,1,1,0,0,0,0,5.363,0,5,0,1
124,6,20,0,1,1,0,0,0,0,5.159,0,5,0,1
51,0,9,0,0,0,0,0,0,0,3.944,1,4,0,1
141,41,9,0,1,1,0,0,0,0,5.214,0,2,0,1
126,16,18,0,3,0,0,0,0,0,4.753,1,2,0,1
21,0,5,0,1,0,0,0,0,0,3.654,0,0,0,1
53,2,11,0,1,0,0,0,0,0,4.343,0,3,0,1
27,0,6,0,1,1,0,0,0,0,3.828,0,0,0,1
76,21,9,0,0,0,0,0,0,0,4.652,0,4,0,1
79,0,13,0,1,0,0,0,0,0,4.233,0,1,0,1
77,16,7,0,0,0,0,0,0,0,4.581,0,3,0,1
35,0,8,0,1,1,0,0,0,0,3.84,0,2,0,1
56,0,9,0,1,1,0,0,0,0,4.296,0,1,0,1
49,4,9,0,1,0,0,0,0,0,4.123,0,3,0,1
41,0,7,0,1,0,0,0,0,0,4.123,0,2,0,1
84,23,10,0,1,0,0,0,0,0,4.77,1,3,0,1
29,0,6,0,1,1,0,0,0,0,3.909,0,0,0,1
21,0,6,0,1,1,0,0,0,0,3.559,0,0,0,1
35,0,8,0,1,0,0,0,0,0,4.05,0,1,0,1
28,0,8,0,1,1,0,0,0,0,3.798,0,0,0,1
97,0,16,0,2,1,0,0,0,0,4.46,0,5,0,1
36,0,6,0,0,0,0,0,0,0,3.785,0,1,0,1
63,0,10,0,1,1,0,0,0,0,4.068,0,2,0,1
24,0,5,0,1,0,0,0,0,0,3.918,0,0,0,1
40,1,5,0,1,0,0,0,0,0,4.009,0,0,0,1
85,0,14,0,0,0,0,0,0,0,4.248,0,8,0,1
56,6,11,0,3,0,0,0,0,0,4.582,0,1,0,1
49,0,9,0,0,0,0,0,0,0,4.108,0,4,0,1
23,0,5,0,0,1,0,0,0,0,3.588,0,1,0,1
64,0,11,0,0,1,0,0,0,0,4.371,0,5,0,1
46,2,11,0,1,1,0,0,0,0,4.398,0,3,0,1
36,0,8,0,0,0,0,0,0,0,4.007,0,3,0,1
29,2,5,0,1,0,0,0,0,0,4.116,1,0,0,1
55,3,8,0,1,0,0,0,0,0,4.075,0,1,0,1
45,0,7,0,1,0,0,0,0,0,4.136,0,1,0,1
33,0,6,0,1,0,0,0,0,0,4.006,0,0,0,1
231,92,20,0,1,1,0,0,0,0,4.834,1,4,0,1
30,0,6,0,1,1,1,0,0,0,3.736,0,1,0,1
31,0,6,0,1,0,0,0,0,0,3.825,0,0,0,1
27,0,7,0,1,1,0,0,0,0,3.764,0,0,0,1
81,21,8,0,1,0,0,0,0,0,4.812,0,3,0,1
58,7,10,0,1,1,0,0,0,0,4.386,0,1,0,1
28,0,6,0,1,1,0,0,0,0,3.968,0,0,0,1
25,0,6,0,1,1,0,0,0,0,3.589,0,0,0,1
87,2,13,0,0,0,0,0,0,0,4.444,1,5,0,1
28,0,6,0,1,1,0,0,0,0,3.941,0,0,0,1
133,8,23,0,1,1,0,0,0,0,4.584,0,5,0,1
26,0,7,0,2,1,0,0,0,0,3.892,0,0,0,1
36,0,8,0,0,0,0,0,0,0,3.801,0,3,0,1
29,0,5,0,0,1,0,0,0,0,4.116,1,1,0,1
37,0,7,0,1,1,0,0,0,0,3.925,0,0,0,1
33,0,6,0,1,1,0,0,0,0,3.937,0,0,0,1
47,0,10,0,1,0,0,0,0,0,4.281,0,1,0,1
26,3,6,0,1,1,0,0,0,0,3.95,0,0,0,1
93,2,17,0,1,0,0,0,0,0,4.585,0,4,0,1
44,0,9,0,3,0,0,0,0,0,4.226,0,1,0,1
34,0,6,0,1,0,0,0,0,0,3.94,1,0,0,1
63,0,12,0,1,0,0,0,0,0,4.267,0,1,0,1
56,9,11,0,3,1,0,0,0,0,4.497,0,1,0,1
28,3,5,0,1,1,0,0,0,0,3.852,0,0,0,1
51,0,11,0,1,0,0,0,0,0,4.14,0,1,0,1
50,3,8,0,0,0,0,0,0,0,4.088,0,2,0,1
70,6,11,0,1,0,0,0,0,0,4.421,0,4,0,1
41,2,10,0,1,0,0,0,0,0,4.327,0,1,0,1
74,7,11,0,1,0,0,0,0,0,4.356,0,2,0,1
26,0,6,0,1,1,0,0,0,0,3.95,0,0,0,1
114,6,19,0,1,1,0,0,0,0,4.432,0,3,0,1
49,0,7,0,0,0,0,0,0,0,4.027,0,2,0,1
26,0,6,0,1,1,0,0,0,0,3.815,0,0,0,1
42,0,9,0,1,1,0,0,0,0,4.128,0,2,0,1
28,0,5,0,0,1,0,0,0,0,3.869,0,0,0,1
29,0,6,0,1,1,0,0,0,0,3.995,0,0,0,1
32,0,7,0,1,0,0,0,0,0,3.804,0,1,0,1
34,1,7,0,1,1,0,0,0,0,4.175,0,0,0,1
51,0,12,0,1,0,0,0,0,0,4.398,0,1,0,1
78,0,14,0,1,1,0,0,0,0,4.303,0,1,0,1
43,0,8,0,3,0,0,0,0,0,4.008,0,1,0,1
154,14,23,0,1,1,0,0,0,0,5.29,1,5,0,1
35,0,7,0,2,1,0,0,0,0,3.971,0,0,0,1
54,0,8,0,1,0,0,0,0,0,3.949,0,1,0,1
35,0,6,0,1,0,0,0,0,0,4.047,0,0,0,1
25,0,5,0,0,1,0,0,0,0,3.833,0,0,0,1
27,0,6,0,1,0,0,0,0,0,3.856,0,0,0,1
61,9,12,1,2,0,0,0,0,0,4.773,1,3,0,1
41,0,6,0,1,0,0,0,0,0,4.035,0,1,0,1
47,0,9,0,0,0,0,0,0,0,3.961,0,4,0,1
19,0,6,0,1,0,0,0,0,0,3.392,0,0,0,1
38,0,7,0,1,1,0,0,0,0,4.116,0,1,0,1
64,6,12,0,1,0,0,0,0,0,4.328,0,3,0,1
271,84,25,0,1,0,0,0,0,0,4.8,1,8,0,1
50,0,9,0,0,0,0,0,0,0,4.013,0,4,0,1
80,7,15,0,1,1,0,0,0,0,4.53,0,2,0,1
67,0,9,0,0,1,0,0,0,0,4.277,0,4,0,1
282,59,31,0,1,1,0,0,0,0,5.56,0,5,0,1
144,6,19,0,1,1,0,0,0,0,5.145,0,5,0,1
52,4,8,0,0,0,0,0,0,0,4.443,0,3,0,1
28,0,6,0,1,1,0,0,0,0,3.798,0,0,0,1
50,0,9,0,1,1,0,0,0,0,4.004,0,3,0,1
60,13,14,0,1,0,0,0,0,0,4.659,0,3,0,1
87,2,11,0,1,1,0,0,0,0,4.191,0,2,0,1
35,4,7,0,1,0,0,0,0,0,3.936,0,1,0,1
102,25,14,0,2,0,0,0,0,0,4.691,0,5,0,1
63,9,8,0,1,1,0,0,0,0,4.997,0,0,0,1
36,0,7,0,1,1,0,0,0,0,4.218,0,0,0,1
21,0,6,0,1,1,0,0,0,0,3.523,0,0,0,1
238,75,35,0,1,1,0,0,0,0,5.36,0,1,0,1
36,10,8,1,2,0,0,0,0,0,4.128,0,1,0,1
38,0,6,0,1,1,0,0,0,0,4.109,0,0,0,1
88,15,16,1,2,0,0,0,0,0,4.528,0,4,0,1
29,0,6,0,1,0,0,0,0,0,3.719,0,0,0,1
27,0,6,0,1,0,0,0,0,0,3.81,0,1,0,1
101,11,11,0,1,1,0,0,0,0,5.259,1,5,0,1
18,0,5,0,1,0,0,0,0,0,3.725,0,0,0,1
27,0,7,0,1,0,0,0,0,0,3.514,0,1,0,1
28,1,7,0,1,1,0,0,0,0,3.968,1,1,0,1
36,1,7,0,0,0,0,0,0,0,4.163,0,2,0,1
53,0,9,0,1,0,0,0,0,0,4.336,0,2,0,1
66,10,12,0,1,0,0,0,0,0,4.557,1,5,0,1
35,0,6,0,1,1,0,0,0,0,3.797,0,0,0,1
27,1,5,0,0,1,0,0,0,0,3.958,0,1,0,1
21,10,7,1,2,0,0,0,0,0,3.427,0,0,0,1
123,7,22,0,1,0,0,0,0,0,4.477,0,2,0,1
47,0,9,0,2,0,0,0,0,0,4.076,0,2,0,1
59,2,11,0,1,1,0,0,0,0,4.312,0,2,0,1
15,1,5,0,0,0,0,0,0,0,3.457,0,1,0,1
26,0,6,0,1,0,0,0,0,0,3.584,0,0,0,1
82,9,16,0,3,1,0,0,0,0,4.715,0,2,0,1
77,0,12,0,1,1,0,0,0,0,4.44,0,4,0,1
38,3,9,0,1,1,0,0,0,0,4.179,0,3,0,1
39,0,5,0,1,0,0,0,0,0,4.055,0,0,0,1
42,0,8,0,1,1,0,0,0,0,4.184,0,2,0,1
33,0,7,0,1,1,0,0,0,0,3.923,0,1,0,1
53,0,10,0,1,0,0,0,0,0,4.522,1,0,0,1
44,2,9,0,1,0,0,0,0,0,4.374,0,2,0,1
23,0,6,0,1,0,0,0,0,0,3.675,0,0,0,1
17,0,4,0,0,0,0,0,0,0,3.455,0,0,0,1
26,0,6,0,1,0,0,0,0,0,3.815,0,0,0,1
129,20,20,0,4,0,0,0,0,0,4.755,1,2,0,1
42,5,8,0,1,0,0,0,0,0,4.214,0,0,0,1
52,2,8,0,1,0,0,0,0,0,4.036,0,2,0,1
27,1,6,0,1,0,0,0,0,0,3.93,0,0,0,1
43,6,9,0,1,0,0,0,0,0,4.342,0,3,0,1
28,0,7,0,1,0,0,0,0,0,3.74,0,0,0,1
97,4,14,0,1,1,0,0,0,0,4.494,0,5,0,1
28,0,6,0,1,0,0,0,0,0,3.842,0,0,0,1
27,0,6,0,1,0,0,0,0,0,4.004,0,0,0,1
35,0,7,0,1,0,0,0,0,0,3.84,0,1,0,1
62,0,9,0,1,1,0,0,0,0,4.275,0,2,0,1
127,24,18,0,3,1,0,0,0,0,4.832,1,2,0,1
29,2,5,0,1,0,0,0,0,0,4.03,0,0,0,1
33,0,7,0,1,0,0,0,0,0,3.726,0,1,0,1
